split,target,fold,subject_id,balance_rate,history_rows,future_rows,history_pos_rate,target_future_mean,before_mean,after_mean,candidate
oof,Q1,4,id09,0.3,33,8,0.42424242424242425,0.02,0.3999919414034874,0.02,allq_rate_0p3
oof,Q1,4,id10,0.3,27,6,0.4444444444444444,0.02,0.4950950375769163,0.020000000000000004,allq_rate_0p3
test,Q1,-1,id01,0.3,41,27,0.43902439024390244,0.08888888888888884,0.4336724013809039,0.08888888888888885,allq_rate_0p3
test,Q1,-1,id02,0.3,48,32,0.5416666666666666,0.02,0.5105957198340306,0.01999999999999999,allq_rate_0p3
test,Q1,-1,id03,0.3,33,21,0.8484848484848485,0.02,0.6787227179611905,0.02,allq_rate_0p3
test,Q1,-1,id04,0.3,57,27,0.5614035087719298,0.02,0.5842484958604136,0.02,allq_rate_0p3
test,Q1,-1,id05,0.3,44,21,0.6136363636363636,0.02,0.5974882935120752,0.02000000000000001,allq_rate_0p3
test,Q1,-1,id06,0.3,48,24,0.14583333333333334,0.6083333333333333,0.2615632648414763,0.6083333333333331,allq_rate_0p3
test,Q1,-1,id07,0.3,49,30,0.5102040816326531,0.02,0.5296516335797071,0.020000000000000007,allq_rate_0p3
test,Q1,-1,id08,0.3,56,19,0.4107142857142857,0.02,0.35189420653875336,0.020000000000000007,allq_rate_0p3
test,Q1,-1,id09,0.3,41,27,0.5121951219512195,0.02,0.5103423937300035,0.02000000000000001,allq_rate_0p3
test,Q1,-1,id10,0.3,33,22,0.48484848484848486,0.022727272727272728,0.4602822400374256,0.022727272727272714,allq_rate_0p3
oof,Q2,0,id01,0.3,32,9,0.65625,0.02,0.5921550671379797,0.019999999999999987,allq_rate_0p3
oof,Q2,0,id02,0.3,38,10,0.7105263157894737,0.02,0.5817299076354894,0.02000000000000001,allq_rate_0p3
oof,Q2,0,id03,0.3,26,7,0.8846153846153846,0.02,0.6112780898979978,0.02000000000000001,allq_rate_0p3
oof,Q2,0,id04,0.3,45,12,0.5555555555555556,0.02,0.5896553205893887,0.01999999999999999,allq_rate_0p3
oof,Q2,0,id05,0.3,35,9,0.34285714285714286,0.13333333333333325,0.5682193851330469,0.1333333333333332,allq_rate_0p3
oof,Q2,0,id06,0.3,38,10,0.5,0.02,0.5804313568109685,0.02000000000000001,allq_rate_0p3
oof,Q2,0,id07,0.3,39,10,0.48717948717948717,0.02,0.5738851747102789,0.019999999999999997,allq_rate_0p3
oof,Q2,0,id08,0.3,44,12,0.75,0.02,0.6011025767723889,0.020000000000000007,allq_rate_0p3
oof,Q2,0,id09,0.3,32,9,0.5625,0.02,0.5716074027977129,0.020000000000000007,allq_rate_0p3
oof,Q2,0,id10,0.3,26,7,0.46153846153846156,0.02,0.5812864304587811,0.020000000000000014,allq_rate_0p3
oof,Q2,1,id01,0.3,33,8,0.5454545454545454,0.02,0.3942445166744371,0.020000000000000004,allq_rate_0p3
oof,Q2,1,id02,0.3,38,10,0.6578947368421053,0.02,0.5518612725044042,0.019999999999999997,allq_rate_0p3
oof,Q2,1,id03,0.3,26,7,0.8461538461538461,0.02,0.6141076286442594,0.020000000000000007,allq_rate_0p3
oof,Q2,1,id04,0.3,46,11,0.5,0.02,0.3952736091235938,0.019999999999999993,allq_rate_0p3
oof,Q2,1,id05,0.3,35,9,0.4,0.02,0.6719857414723189,0.02000000000000001,allq_rate_0p3
oof,Q2,1,id06,0.3,38,10,0.47368421052631576,0.02,0.28699561593154826,0.019999999999999993,allq_rate_0p3
oof,Q2,1,id07,0.3,39,10,0.48717948717948717,0.02,0.5681188665691235,0.019999999999999983,allq_rate_0p3
oof,Q2,1,id08,0.3,45,11,0.7555555555555555,0.02,0.7852087463810402,0.019999999999999987,allq_rate_0p3
oof,Q2,1,id09,0.3,33,8,0.45454545454545453,0.02,0.2827105335855472,0.019999999999999993,allq_rate_0p3
oof,Q2,1,id10,0.3,26,7,0.6153846153846154,0.02,0.6949391092113821,0.020000000000000018,allq_rate_0p3
oof,Q2,2,id01,0.3,33,8,0.45454545454545453,0.02,0.46422728599087637,0.02,allq_rate_0p3
oof,Q2,2,id02,0.3,39,9,0.6410256410256411,0.02,0.5733849622999884,0.020000000000000004,allq_rate_0p3
oof,Q2,2,id03,0.3,27,6,0.8148148148148148,0.02,0.59642445914381,0.020000000000000004,allq_rate_0p3
oof,Q2,2,id04,0.3,45,12,0.5111111111111111,0.02,0.39788262693148874,0.020000000000000004,allq_rate_0p3
oof,Q2,2,id05,0.3,35,9,0.42857142857142855,0.02,0.6101074957817726,0.020000000000000018,allq_rate_0p3
oof,Q2,2,id06,0.3,39,9,0.3076923076923077,0.2666666666666665,0.25136771074933767,0.26666666666666644,allq_rate_0p3
oof,Q2,2,id07,0.3,39,10,0.48717948717948717,0.02,0.5724171121608086,0.019999999999999997,allq_rate_0p3
oof,Q2,2,id08,0.3,45,11,0.8666666666666667,0.02,0.7796842718841442,0.02,allq_rate_0p3
oof,Q2,2,id09,0.3,33,8,0.30303030303030304,0.28749999999999987,0.3312657788591236,0.2874999999999998,allq_rate_0p3
oof,Q2,2,id10,0.3,27,6,0.5185185185185185,0.02,0.5539347363401491,0.02,allq_rate_0p3
