split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,candidate
oof,Q3,3,id07,10,0.5,1.0,0.5578231292517006,0.7047619047619048,0.5703219660981793,0.6955658717649095,targetwise_lastbest
oof,Q3,3,id08,11,0.5,1.0,0.5578231292517006,0.7047619047619048,0.5588403651820513,0.6826853132015201,targetwise_lastbest
oof,Q3,3,id09,8,0.5,1.0,0.5578231292517006,0.7047619047619048,0.42283838496081805,0.4524574876216031,targetwise_lastbest
oof,Q3,3,id10,7,0.5,1.0,0.5578231292517006,0.7047619047619048,0.5682992150004561,0.5368117205011401,targetwise_lastbest
oof,Q3,4,id01,8,0.5,1.0,0.5666666666666667,0.6995305164319249,0.5690918626824721,0.5434565243755916,targetwise_lastbest
oof,Q3,4,id02,9,0.5,1.0,0.5666666666666667,0.6995305164319249,0.7069850182529611,0.7782574683476751,targetwise_lastbest
oof,Q3,4,id03,6,0.5,1.0,0.5666666666666667,0.6995305164319249,0.5720706166428201,0.5115585336676945,targetwise_lastbest
oof,Q3,4,id04,11,0.5,1.0,0.5666666666666667,0.6995305164319249,0.7108400288878092,0.7757103334691682,targetwise_lastbest
oof,Q3,4,id05,8,0.5,1.0,0.5666666666666667,0.6995305164319249,0.5677576076310464,0.5432288051252148,targetwise_lastbest
oof,Q3,4,id06,9,0.5,1.0,0.5666666666666667,0.6995305164319249,0.6948240777469542,0.7714541501924236,targetwise_lastbest
oof,Q3,4,id07,9,0.5,1.0,0.5666666666666667,0.6995305164319249,0.6941588347730723,0.7715353759736001,targetwise_lastbest
oof,Q3,4,id08,11,0.5,1.0,0.5666666666666667,0.6995305164319249,0.5497525477720463,0.6712036781635967,targetwise_lastbest
oof,Q3,4,id09,8,0.5,1.0,0.5666666666666667,0.6995305164319249,0.5598876628937961,0.6932408679372299,targetwise_lastbest
oof,Q3,4,id10,6,0.5,1.0,0.5666666666666667,0.6995305164319249,0.5679314624242582,0.5090437687036083,targetwise_lastbest
test,Q3,-1,id01,27,0.5,1.0,0.5604395604395604,0.7105263157894737,0.639840439545852,0.7251173283103739,targetwise_lastbest
test,Q3,-1,id02,32,0.5,1.0,0.5604395604395604,0.7105263157894737,0.6474858424850659,0.7254038899326583,targetwise_lastbest
test,Q3,-1,id03,21,0.5,1.0,0.5604395604395604,0.7105263157894737,0.7188787288501627,0.780246967572975,targetwise_lastbest
test,Q3,-1,id04,27,0.5,1.0,0.5604395604395604,0.7105263157894737,0.656701164267993,0.7334149541637038,targetwise_lastbest
test,Q3,-1,id05,21,0.5,1.0,0.5604395604395604,0.7105263157894737,0.6720995100998898,0.7464900160538201,targetwise_lastbest
test,Q3,-1,id06,24,0.5,1.0,0.5604395604395604,0.7105263157894737,0.7075179070229897,0.7710496158813305,targetwise_lastbest
test,Q3,-1,id07,30,0.5,1.0,0.5604395604395604,0.7105263157894737,0.568978450035546,0.6718748054127367,targetwise_lastbest
test,Q3,-1,id08,19,0.5,1.0,0.5604395604395604,0.7105263157894737,0.4899802533655507,0.5579432138575147,targetwise_lastbest
test,Q3,-1,id09,27,0.5,1.0,0.5604395604395604,0.7105263157894737,0.6327151811524112,0.6742481409680388,targetwise_lastbest
test,Q3,-1,id10,22,0.5,1.0,0.5604395604395604,0.7105263157894737,0.5104496696852849,0.5733186019628215,targetwise_lastbest
oof,S4,0,id01,9,1.5,0.45,0.5714285714285714,0.6354166666666666,0.5331394448035539,0.5774195315230982,targetwise_lastbest
oof,S4,0,id02,10,1.5,0.45,0.5714285714285714,0.6354166666666666,0.7286421963848371,0.8542713040369545,targetwise_lastbest
