source,target,full_logloss,last_logloss,mean_pred,mean_y,fold,fold_logloss,fold_mean_pred,fold_mean_y
submitted_public_best,Q1,,,,,1.0,0.6268605949918304,0.46933432842841427,0.5164835164835165
submitted_public_best,Q1,,,,,2.0,0.5844767451271372,0.46184305238565904,0.4772727272727273
submitted_public_best,Q1,,,,,3.0,0.5794223054334365,0.5311923432399309,0.45054945054945056
submitted_public_best,Q1,,,,,4.0,0.603239911067091,0.47539764973239723,0.5882352941176471
submitted_public_best,Q2,0.6926660898686876,0.6169505226758217,0.5710456735399351,0.5622222222222222,,,,
submitted_public_best,Q2,,,,,0.0,0.7266772959957731,0.594394865476728,0.4631578947368421
submitted_public_best,Q2,,,,,1.0,0.6325050011164576,0.5442287450917319,0.5384615384615384
submitted_public_best,Q2,,,,,2.0,0.7750628801329537,0.5265837430046593,0.6704545454545454
submitted_public_best,Q2,,,,,3.0,0.7083638938524018,0.6165045181296156,0.4725274725274725
submitted_public_best,Q2,,,,,4.0,0.6169505226758217,0.57102287688387,0.6823529411764706
submitted_public_best,Q3,0.6654827078919677,0.6224188673133506,0.6156610103000738,0.6,,,,
submitted_public_best,Q3,,,,,0.0,0.6992055504233332,0.6239735112987341,0.5473684210526316
submitted_public_best,Q3,,,,,1.0,0.6800816300404351,0.6003317022210425,0.5934065934065934
submitted_public_best,Q3,,,,,2.0,0.7064227289790792,0.5905049018967534,0.6022727272727273
submitted_public_best,Q3,,,,,3.0,0.6163127368757737,0.6281363222672884,0.6153846153846154
submitted_public_best,Q3,,,,,4.0,0.6224188673133506,0.6354699937211893,0.6470588235294118
submitted_public_best,S1,0.4888442898813237,0.4309734248447679,0.7169482427018701,0.6822222222222222,,,,
submitted_public_best,S1,,,,,0.0,0.470478165353136,0.730426297901467,0.6947368421052632
submitted_public_best,S1,,,,,1.0,0.4862291390835621,0.7076869913623949,0.7252747252747253
submitted_public_best,S1,,,,,2.0,0.5290528261383755,0.6953353421812065,0.6363636363636364
submitted_public_best,S1,,,,,3.0,0.5258050908732016,0.736813103450629,0.6153846153846154
submitted_public_best,S1,,,,,4.0,0.4309734248447679,0.7129081432384807,0.7411764705882353
submitted_public_best,S2,0.562622011559896,0.5684210565200837,0.627850784857016,0.6511111111111111,,,,
submitted_public_best,S2,,,,,0.0,0.5907407713373016,0.6484210234072785,0.6631578947368421
submitted_public_best,S2,,,,,1.0,0.5314445080885555,0.6310597661382457,0.6813186813186813
submitted_public_best,S2,,,,,2.0,0.5328716846895758,0.6247310359531201,0.6590909090909091
submitted_public_best,S2,,,,,3.0,0.587797622329244,0.6039401696397857,0.6813186813186813
