source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,rank_score,kept_for_target
public_aware_stack_blend_20260622/target_select_public_balanced_logit_anchorblend_w0p9,Q3,0.6650002993508408,0.6234475539264689,0.0023197532226401085,-0.011244454314284558,0.000899745667725983,0.0008997456677259639,0.012,0.0,0.0002249364169314948,0.6262340116450282,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p9,Q3,0.6650002993508408,0.6234475539264689,0.0023197532226401085,-0.011244454314284558,0.000899745667725983,0.0008997456677259639,0.012,0.0,0.0002249364169314948,0.6262340116450282,False
public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p8,Q3,0.6645586295803524,0.6245181829038703,0.0018780834521516798,-0.010173825336883158,0.0008086414219816025,0.0008086414219815842,0.012,0.0,0.00020216035549539972,0.6268984271792327,True
public_aware_stack_blend_20260622/target_select_public_balanced_logit_anchorblend_w0p8,Q3,0.6645586295803524,0.6245181829038703,0.0018780834521516798,-0.010173825336883158,0.0008086414219816025,0.0008086414219815842,0.012,0.0,0.00020216035549539972,0.6268984271792327,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p8,Q3,0.6645586295803524,0.6245181829038703,0.0018780834521516798,-0.010173825336883158,0.0008086414219816025,0.0008086414219815842,0.012,0.0,0.00020216035549539972,0.6268984271792327,False
public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65,Q3,0.6639759092551359,0.6262046676143995,0.001295363126935234,-0.008487340626353923,0.0006677589984953578,0.0006677589984953387,0.012,0.0,0.0001669397496238385,0.6280169119382285,True
public_aware_stack_blend_20260622/target_select_public_balanced_logit_anchorblend_w0p65,Q3,0.6639759092551359,0.6262046676143995,0.001295363126935234,-0.008487340626353923,0.0006677589984953578,0.0006677589984953387,0.012,0.0,0.0001669397496238385,0.6280169119382285,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65,Q3,0.6639759092551359,0.6262046676143995,0.001295363126935234,-0.008487340626353923,0.0006677589984953578,0.0006677589984953387,0.012,0.0,0.0001669397496238385,0.6280169119382285,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit,Q3,0.6626805461282007,0.6346920082407534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346920082407534,True
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top160_hist1_bankbins_te_sh0.05_logit,Q3,0.6626805461282007,0.6346920082407534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6346920082407534,False
