source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
seq_Q2_1p25_0p8,Q2,0.8547854530146427,0.7480751428930935,0.16190559639072022,0.10999077359269216
seq_Q2_0p8_0p45,Q2,0.7872756236872946,0.7480835348809229,0.09439576706337216,0.10999916558052159
seq_Q2_1p25_0p45,Q2,0.8204394870072304,0.7485044316199424,0.12755963038330786,0.11042006231954105
seq_Q2_0p5_0p6,Q2,0.7781209104188429,0.7498156953859334,0.08524105379492042,0.11173132608553205
seq_Q2_1_0p3,Q2,0.7924468080628778,0.7504266979873995,0.09956695143895533,0.11234232868699812
seq_Q2_1p25_0p3,Q2,0.8095923847979711,0.7504626263798917,0.11671252817404865,0.11237825707949034
seq_Q2_1p25_1,Q2,0.8814590518202186,0.7509770998550851,0.18857919519629607,0.11289273055468374
seq_Q2_0p65_0p45,Q2,0.7798954962903791,0.7511195988365628,0.08701563966645665,0.11303522953616141
seq_Q2_0p8_0p3,Q2,0.7819307735195283,0.7531087090978799,0.08905091689560585,0.1150243397974785
seq_Q2_1p25_0p15,Q2,0.8006687026026846,0.7533134100194696,0.10778884597876215,0.11522904071906825
seq_Q2_1p5_0p3,Q2,0.830597824837046,0.753842356885016,0.13771796821312354,0.11575798758461464
seq_Q2_1p5_0p45,Q2,0.8446998666776472,0.7539613421742323,0.1518200100537247,0.11587697287383092
seq_Q2_1_0p15,Q2,0.7863619199837669,0.7548417941762409,0.09348206335984444,0.11675742487583951
seq_Q2_1p5_0p15,Q2,0.8186815001287399,0.7548711410943115,0.12580164350481737,0.11678677179391017
seq_Q2_1p5_0p6,Q2,0.8612505036804917,0.7553456739564866,0.16837064705656923,0.1172613046560852
seq_Q2_0p5_0p45,Q2,0.7746768897625688,0.7559565503045707,0.08179703313864628,0.1178721810041693
seq_Q2_0p65_0p3,Q2,0.7761340290704555,0.756850873771288,0.08325417244653299,0.11876650447088666
seq_Q2_0p8_0p15,Q2,0.7779059101295297,0.7585080428551262,0.08502605350560721,0.12042367355472483
seq_Q2_1p5_0p8,Q2,0.8876735837681791,0.7593839134185091,0.19479372714425658,0.12129954411810773
seq_Q2_0p5_0p3,Q2,0.7722870159048253,0.7621750974483341,0.0794071592809028,0.12409072814793276
seq_Q2_0p65_0p15,Q2,0.7734691712853755,0.7627884839507162,0.08058931466145303,0.12470411465031483
seq_Q2_1p5_1,Q2,0.9199307124878872,0.766241565713471,0.22705085586396467,0.12815719641306966
seq_Q2_0p5_0p15,Q2,0.7707744208526567,0.7684486039799692,0.0778945642287342,0.13036423467956781
seq_Q3_0p5_1,Q3,0.7436041944391153,0.6241855802150217,0.08092364831091459,-0.010506428025731762
seq_Q3_0p5_0p8,Q3,0.7339402744323316,0.6262770751390209,0.07125972830413085,-0.00841493310173258
